Order #,Supplier,Date Added,Invoice Number,Metal Type,Qty,Weight,Price
52808,,17/07/2024,0,18KT,1,3.7 g.,
52820,,17/07/2024,0,14KT,1,7.8 g.,
52823,,17/07/2024,0,18KT,1,3.3 g.,
52825,,17/07/2024,0,14KT,1,4.4 g.,
52822,,17/07/2024,0,14KT,1,3.22 g.,
52824,,17/07/2024,0,18KT,1,4.2 g.,
52828,,17/07/2024,0,14KT,1,3.02 g.,
52834,,17/07/2024,0,18KT,1,4.22 g.,
52829,,17/07/2024,0,18KT,1,3.8 g.,
52836,,17/07/2024,0,14KT,1,2.66 g.,
52838,,17/07/2024,0,14KT,1,2.83 g.,
52841,,17/07/2024,0,14KT,1,5.54 g.,
52842,,17/07/2024,0,14KT,1,2.93 g.,
52807,,17/07/2024,0,18KT,1,4.96 g.,
52850,,17/07/2024,0,14KT,1,6.13 g.,
52839,,17/07/2024,0,14KT,1,2.41 g.,
52828,,17/07/2024,0,14KT,1,2.55 g.,
52830,,17/07/2024,0,14KT,1,3.11 g.,
52849,,17/07/2024,0,14KT,1,2.94 g.,
52848,,17/07/2024,0,14KT,1,2.71 g.,
52827,,17/07/2024,0,14KT,1,5.58 g.,
52843,,17/07/2024,0,14KT,1,6.25 g.,
52852,,17/07/2024,0,14KT,1,4.44 g.,
52856,,17/07/2024,0,14KT,1,4.6 g.,
52764,,17/07/2024,0,14KT,1,2.93 g.,
52858,,17/07/2024,0,14KT,1,2.74 g.,
52859,,17/07/2024,0,14KT,1,2.94 g.,
52865,,17/07/2024,0,14KT,1,3.95 g.,
52864,,17/07/2024,0,14KT,1,7.26 g.,
52855,,17/07/2024,0,14KT,1,2.95 g.,
52860,,17/07/2024,0,14KT,1,3.84 g.,
52861,,17/07/2024,0,14KT,1,7.35 g.,
52868,,17/07/2024,0,18KT,1,3.78 g.,
52874,,17/07/2024,0,18KT,1,8.77 g.,
52806,,17/07/2024,0,14KT,1,2.8 g.,
52869,,17/07/2024,0,14KT,1,3.47 g.,
52871,,17/07/2024,0,14KT,1,2.74 g.,
52873,,17/07/2024,0,14KT,1,3.51 g.,
52876,,17/07/2024,0,14KT,1,5.15 g.,
52877,,17/07/2024,0,14KT,1,3.0 g.,
52832,,17/07/2024,0,14KT,1,2.58 g.,
52857,,17/07/2024,0,18KT,1,4.14 g.,
52857,,17/07/2024,0,18KT,1,6.13 g.,
52875,,17/07/2024,0,18KT,1,4.83 g.,
52875,,17/07/2024,0,18KT,1,4.07 g.,
52878,,17/07/2024,0,18KT,1,5.23 g.,
52880,,17/07/2024,0,14KT,1,2.68 g.,
52883,,17/07/2024,0,14KT,1,2.77 g.,
52884,,17/07/2024,0,Platinum,1,7.46 g.,
52885,,17/07/2024,0,14KT,1,4.33 g.,
52888,,17/07/2024,0,18KT,2,15.16 g.,
52887,,17/07/2024,0,14KT,1,8.7 g.,
52890,,17/07/2024,0,14KT,1,4.4 g.,
52656,,17/07/2024,0,14KT,1,4.07 g.,
52801,,17/07/2024,0,14KT,1,2.01 g.,
52892,,17/07/2024,0,14KT,1,3.86 g.,
52893,,17/07/2024,0,14KT,1,2.95 g.,
52895,,17/07/2024,0,14KT,1,2.68 g.,
52898,,17/07/2024,0,18KT,1,8.63 g.,
52902,,17/07/2024,0,14KT,1,2.99 g.,
52904,,17/07/2024,0,14KT,1,2.97 g.,
52909,,17/07/2024,0,14KT,1,6.89 g.,
52900,,17/07/2024,0,14KT,1,3.49 g.,
52913,,17/07/2024,0,14KT,1,3.79 g.,
52889,,17/07/2024,0,14KT,1,5.91 g.,
52911,,17/07/2024,0,14KT,1,5.96 g.,
51914,,17/07/2024,0,18KT,1,6.68 g.,
52915,,17/07/2024,0,14KT,1,6.62 g.,
52916,,17/07/2024,0,18KT,1,7.6 g.,
52919,,17/07/2024,0,14KT,1,4.03 g.,
52842,,17/07/2024,0,14KT,1,3.97 g.,
52819,,17/07/2024,0,14KT,1,3.4 g.,
52920,,17/07/2024,0,14KT,1,3.03 g.,
52921,,17/07/2024,0,14KT,1,2.72 g.,
52891,,17/07/2024,0,14KT,1,5.75 g.,
52910,,17/07/2024,0,14KT,1,2.2 g.,
52922,,17/07/2024,0,14KT,1,6.34 g.,
52923,,17/07/2024,0,14KT,1,2.15 g.,
52926,,17/07/2024,0,18KT,1,2.66 g.,
52924,,17/07/2024,0,Platinum,1,7.71 g.,
52930,,17/07/2024,0,14KT,1,8.15 g.,
52925,,17/07/2024,0,14KT,1,2.9 g.,
52814,,17/07/2024,0,14KT,1,2.42 g.,
52929,,17/07/2024,0,14KT,1,3.6 g.,
52287,,17/07/2024,0,14KT,1,6.75 g.,
52867,,17/07/2024,0,14KT,1,5.96 g.,
52927,,17/07/2024,0,14KT,1,3.17 g.,
52941,,17/07/2024,0,14KT,1,3.23 g.,
52939,,17/07/2024,0,14KT,1,1.54 g.,
52937,,17/07/2024,0,18KT,1,4.81 g.,
52936,,17/07/2024,0,18KT,1,5.58 g.,
52942,,17/07/2024,0,14KT,1,3.83 g.,
52942,,17/07/2024,0,14KT,1,3.22 g.,
52495,,17/07/2024,0,14KT,1,5.9 g.,
52836,,17/07/2024,0,14KT,1,2.0 g.,
52944,,17/07/2024,0,14KT,1,2.6 g.,
52943,,17/07/2024,0,14KT,1,6.43 g.,
52867,,17/07/2024,0,14KT,1,5.72 g.,
52951,,17/07/2024,0,14KT,1,8.11 g.,
52950,,17/07/2024,0,14KT,1,7.81 g.,
52949,,17/07/2024,0,14KT,1,2.19 g.,
52952,,17/07/2024,0,14KT,1,2.96 g.,
52953,,17/07/2024,0,14KT,1,5.53 g.,
52953,,17/07/2024,0,14KT,1,2.28 g.,
52958,,17/07/2024,0,18KT,1,2.15 g.,
52959,,17/07/2024,0,14KT,1,4.15 g.,
52960,,17/07/2024,0,18KT,1,3.4 g.,
52962,,17/07/2024,0,18KT,1,6.62 g.,
52603,,17/07/2024,0,14KT,1,5.08 g.,
52677,,17/07/2024,0,14KT,1,3.46 g.,
52865,,17/07/2024,0,14KT,1,2.02 g.,
